livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingType,vaccinationProgram,vetServiceFrequency,medicationIntensity,feedPrice,laborCost,electricityCost,totalCostEstimation
cattle,beef,intensive,406,32,South-East,premium,standard,weekly,low,24863,11011,22436,286173
cattle,beef,extensive,484,29,North-Central,basic,minimal,monthly,low,35058,65089,27168,404373
poultry,broiler,battery cage,406,43,South-West,basic,intensive,weekly,low,45173,58586,29797,381729
cattle,dairy,semi-intensive,22,12,North-Central,standard,intensive,weekly,medium,44719,84611,19219,204268
poultry,layer,intensive,369,26,South-West,premium,minimal,weekly,low,35301,48664,15053,318819
poultry,broiler,battery cage,248,80,South-West,basic,minimal,quarterly,low,22752,69772,28673,267949
cattle,dairy,semi-intensive,274,32,North-Central,premium,minimal,monthly,high,33411,89490,6783,300095
poultry,broiler,battery cage,397,6,North-West,standard,intensive,weekly,low,39930,14706,13426,306492
poultry,layer,battery cage,239,43,North-Central,premium,minimal,weekly,low,43816,29136,16355,252623
cattle,beef,intensive,406,16,South-East,standard,standard,quarterly,low,20245,68694,7227,319411
poultry,broiler,intensive,39,78,South-East,standard,minimal,quarterly,high,30596,66562,20649,167903
cattle,dairy,intensive,368,23,North-Central,standard,standard,monthly,medium,28175,86415,15693,342458
cattle,beef,extensive,49,29,South-East,basic,minimal,monthly,low,27019,36218,9441,124197
cattle,beef,extensive,269,27,South-East,premium,intensive,monthly,medium,28193,58496,19705,269087
cattle,dairy,intensive,318,19,South-West,premium,minimal,weekly,high,40653,37680,11045,289031
poultry,broiler,battery cage,491,66,South-West,standard,standard,weekly,low,24949,86704,24213,406315
poultry,broiler,deep litter,293,47,South-East,premium,intensive,monthly,high,30315,14056,17493,238679
cattle,dairy,extensive,396,18,South-West,standard,intensive,quarterly,medium,25681,86041,17429,352832
poultry,layer,battery cage,222,68,North-Central,basic,minimal,quarterly,medium,29790,87504,21266,279350
poultry,layer,intensive,219,57,North-West,basic,standard,quarterly,medium,15569,10851,7526,159015
poultry,layer,intensive,162,49,South-West,basic,intensive,weekly,high,40415,96677,11667,270174
poultry,layer,intensive,409,61,South-East,premium,minimal,monthly,high,20869,14129,26979,287346
poultry,layer,battery cage,242,57,South-West,premium,intensive,monthly,medium,17285,81891,25519,262980
poultry,broiler,deep litter,19,50,North-West,basic,standard,quarterly,high,18733,97303,23350,167619
cattle,dairy,intensive,347,13,South-West,standard,minimal,weekly,low,27218,36154,23095,287185
poultry,layer,battery cage,266,43,South-East,basic,minimal,monthly,medium,31551,86616,6360,289078
poultry,broiler,deep litter,214,23,North-West,premium,minimal,quarterly,high,20727,62388,29234,240076
cattle,beef,intensive,284,27,South-West,premium,minimal,quarterly,medium,19645,98734,11775,291799
poultry,layer,battery cage,229,25,North-West,standard,minimal,weekly,high,20410,85585,5890,246795
poultry,layer,intensive,324,35,South-East,standard,minimal,quarterly,high,19120,33199,15386,248825
cattle,beef,semi-intensive,342,32,South-West,premium,intensive,quarterly,low,23053,52241,24409,293756
cattle,beef,extensive,166,12,North-Central,standard,standard,quarterly,high,46339,70919,26165,272762
cattle,dairy,semi-intensive,475,30,South-West,premium,intensive,quarterly,low,34163,31634,24554,362014
cattle,beef,semi-intensive,388,32,North-Central,basic,minimal,monthly,low,30297,52326,11967,318887
cattle,dairy,intensive,43,13,South-West,premium,standard,quarterly,medium,34177,34076,20389,144319
poultry,layer,battery cage,121,39,North-Central,premium,minimal,monthly,high,42735,81189,15254,242413
poultry,layer,deep litter,294,6,North-Central,standard,minimal,weekly,low,40808,18862,10826,258304
poultry,layer,intensive,304,36,North-Central,premium,intensive,weekly,low,16655,44341,9871,239522
poultry,broiler,deep litter,441,79,North-West,standard,minimal,quarterly,medium,19397,94138,6104,359536
cattle,dairy,extensive,280,28,North-Central,basic,intensive,monthly,medium,44063,28928,10812,267866
poultry,layer,intensive,341,29,North-Central,premium,minimal,weekly,low,35114,64236,17972,322936
cattle,dairy,semi-intensive,366,30,South-East,standard,standard,quarterly,low,31210,13522,9362,268304
cattle,dairy,extensive,390,25,North-West,basic,intensive,quarterly,low,24057,65206,9896,318216
poultry,broiler,deep litter,374,18,North-Central,basic,standard,monthly,medium,43321,92975,6315,372932
cattle,dairy,intensive,249,24,North-Central,standard,minimal,quarterly,high,44224,64785,28385,306118
cattle,beef,intensive,42,16,South-West,premium,minimal,quarterly,low,30057,24409,27509,133032
cattle,dairy,semi-intensive,434,31,South-East,basic,intensive,monthly,low,45953,75871,26721,411498
cattle,dairy,semi-intensive,225,35,South-East,standard,intensive,weekly,high,35803,98699,29334,312139
poultry,broiler,intensive,72,23,North-West,premium,intensive,monthly,high,25834,59203,23163,170034
poultry,broiler,deep litter,74,62,South-East,basic,intensive,monthly,high,45408,17120,29761,174697
cattle,dairy,semi-intensive,45,29,North-Central,standard,minimal,weekly,medium,22784,46914,24035,139017
poultry,broiler,deep litter,328,39,South-East,basic,intensive,monthly,medium,24294,85012,20864,318464
cattle,beef,semi-intensive,477,25,North-Central,standard,minimal,quarterly,medium,37652,79093,21116,414013
poultry,broiler,deep litter,194,57,North-West,basic,intensive,weekly,medium,37129,32791,8366,212415
cattle,beef,extensive,45,29,North-Central,standard,standard,quarterly,high,21138,30744,21027,116547
poultry,broiler,deep litter,128,22,North-West,standard,standard,quarterly,low,49495,16144,26566,205700
cattle,beef,intensive,482,13,South-East,basic,standard,monthly,low,24371,79888,10851,380481
cattle,beef,semi-intensive,265,22,South-West,basic,minimal,monthly,medium,33562,97210,12202,309036
poultry,broiler,deep litter,122,8,North-West,standard,standard,weekly,high,28247,13411,17730,148635
poultry,layer,intensive,174,16,North-Central,standard,standard,weekly,medium,44684,29105,6555,212028
cattle,beef,semi-intensive,43,21,South-East,premium,standard,monthly,low,27205,23616,6287,105813
poultry,broiler,battery cage,319,7,North-Central,premium,intensive,monthly,medium,47429,44878,16042,315278
poultry,layer,intensive,400,11,South-West,basic,minimal,weekly,medium,36652,16871,9851,300026
cattle,beef,extensive,474,30,South-West,basic,standard,quarterly,medium,17523,74599,23902,370547
poultry,broiler,deep litter,304,30,South-West,basic,standard,monthly,low,45022,50831,6834,299709
cattle,dairy,extensive,148,13,North-Central,standard,standard,quarterly,low,15093,78661,14385,197232
poultry,layer,deep litter,112,59,North-West,basic,standard,weekly,low,21063,50792,21304,170222
poultry,layer,intensive,324,7,South-East,basic,minimal,monthly,low,34486,12963,27887,271822
poultry,layer,battery cage,473,77,North-West,standard,intensive,weekly,medium,46960,91337,22649,444406
cattle,dairy,extensive,23,33,South-West,premium,minimal,weekly,high,45665,61505,15721,180056
poultry,broiler,intensive,163,8,South-West,standard,minimal,quarterly,high,38624,68759,20929,248436
cattle,dairy,intensive,182,23,South-West,premium,minimal,quarterly,low,30509,76855,12872,241745
poultry,layer,deep litter,55,47,South-West,basic,standard,quarterly,low,36067,77514,17952,195100
cattle,dairy,intensive,497,23,North-Central,basic,minimal,quarterly,high,41764,86049,7472,425549
poultry,broiler,deep litter,340,23,South-West,basic,minimal,monthly,medium,40506,69789,23835,344636
poultry,layer,battery cage,415,8,South-West,basic,intensive,quarterly,low,23263,14216,25570,293812
cattle,dairy,intensive,205,15,North-West,basic,standard,quarterly,high,26629,17802,6134,179694
poultry,broiler,deep litter,424,21,South-East,basic,standard,quarterly,medium,20309,70616,13650,336884
poultry,broiler,deep litter,45,14,South-West,basic,intensive,weekly,low,20539,69815,6688,140081
poultry,broiler,battery cage,305,19,South-East,basic,intensive,quarterly,low,20578,16988,15807,226451
poultry,layer,battery cage,422,38,North-Central,basic,standard,monthly,low,20957,22097,15925,290936
poultry,layer,deep litter,17,7,North-West,basic,standard,monthly,high,16833,98299,16124,156589
poultry,layer,battery cage,468,80,North-West,premium,minimal,quarterly,medium,40260,13792,10965,339277
poultry,broiler,deep litter,170,54,South-West,standard,standard,monthly,high,26241,17250,20603,175335
poultry,broiler,deep litter,79,66,South-East,basic,minimal,monthly,low,42060,15783,23366,162769
poultry,layer,battery cage,451,63,North-West,premium,standard,weekly,low,49755,31788,7403,364201
cattle,beef,intensive,366,13,South-East,premium,intensive,weekly,low,34026,46499,16534,314085
poultry,layer,battery cage,198,32,North-Central,standard,intensive,monthly,low,17332,91029,6325,231018
cattle,dairy,intensive,263,18,North-West,standard,intensive,monthly,low,30985,53161,5137,251768
cattle,beef,intensive,281,15,North-Central,premium,intensive,monthly,low,34938,39743,29441,279560
cattle,beef,semi-intensive,46,33,South-West,standard,minimal,monthly,medium,45966,59291,16541,190764
cattle,dairy,extensive,463,16,South-East,premium,standard,monthly,medium,47973,65832,24212,417490
poultry,broiler,deep litter,219,56,South-West,standard,minimal,monthly,medium,20536,69478,16677,236727
poultry,layer,deep litter,13,71,North-West,premium,minimal,quarterly,low,35681,77092,6334,161288
cattle,beef,semi-intensive,74,27,North-Central,standard,intensive,monthly,medium,33269,20584,29202,153324
cattle,beef,semi-intensive,83,19,South-East,standard,intensive,monthly,medium,19334,99377,11266,190811
cattle,beef,intensive,55,21,South-West,standard,intensive,weekly,medium,23157,35984,15848,125646
cattle,dairy,semi-intensive,225,17,North-West,standard,standard,quarterly,high,23443,53014,8190,220590
cattle,beef,extensive,303,16,South-East,premium,intensive,weekly,medium,39893,83394,7282,321962
poultry,layer,deep litter,44,13,South-West,standard,minimal,weekly,low,34097,61112,13434,164740
poultry,layer,deep litter,151,72,South-West,premium,intensive,monthly,low,20436,84917,23880,225169
poultry,broiler,deep litter,330,67,North-Central,premium,intensive,monthly,medium,42059,21784,13998,284900
poultry,broiler,battery cage,498,77,South-East,premium,intensive,monthly,medium,31267,68963,11204,391701
cattle,dairy,intensive,37,27,North-West,premium,standard,quarterly,high,28714,10865,8834,95627
poultry,layer,battery cage,190,33,North-West,standard,minimal,weekly,low,21210,62170,23591,223181
cattle,beef,semi-intensive,144,35,South-West,standard,minimal,monthly,high,42160,62879,15675,234874
poultry,broiler,intensive,220,69,North-West,basic,standard,quarterly,high,35887,56078,19498,257350
cattle,dairy,extensive,435,35,South-West,standard,minimal,monthly,high,17079,32914,26609,311181
cattle,dairy,semi-intensive,463,14,North-Central,premium,standard,quarterly,low,42797,72038,9569,398701
cattle,dairy,extensive,149,35,North-West,standard,minimal,quarterly,low,16660,98510,17150,223480
poultry,broiler,battery cage,181,53,South-East,basic,intensive,quarterly,medium,20910,75896,21015,229231
cattle,beef,intensive,410,14,South-West,standard,intensive,weekly,high,38477,96443,12588,390985
poultry,layer,intensive,208,54,North-Central,basic,minimal,monthly,medium,41990,14840,21785,224605
poultry,layer,deep litter,36,78,North-West,basic,standard,quarterly,medium,49882,89900,23485,231149
poultry,layer,battery cage,194,69,North-Central,basic,standard,weekly,medium,45584,87586,26086,301840
poultry,layer,deep litter,399,58,South-East,basic,intensive,monthly,medium,46792,16661,14288,324033
cattle,dairy,semi-intensive,434,35,North-Central,basic,intensive,monthly,medium,26241,14032,10092,293606
poultry,layer,battery cage,182,58,North-West,standard,minimal,weekly,low,47988,20438,21253,228667
cattle,beef,semi-intensive,61,29,South-East,basic,standard,weekly,low,32778,58595,20221,174872
cattle,beef,intensive,100,21,South-East,basic,intensive,quarterly,high,26737,22108,5879,131461
cattle,dairy,extensive,63,34,North-Central,standard,standard,monthly,low,47685,10543,15368,152781
poultry,layer,battery cage,228,15,South-West,standard,intensive,quarterly,high,23837,26572,12948,201194
poultry,layer,deep litter,482,67,South-East,premium,intensive,weekly,medium,28363,80013,21546,399285
poultry,layer,intensive,300,68,North-Central,basic,standard,monthly,high,49884,45979,29836,325583
cattle,dairy,semi-intensive,421,14,North-West,basic,standard,weekly,medium,44860,35802,22911,358933
poultry,layer,deep litter,261,29,North-West,standard,minimal,monthly,low,48621,84685,7233,319660
cattle,dairy,semi-intensive,473,21,North-Central,basic,intensive,monthly,high,26236,31194,9931,330097
poultry,broiler,intensive,344,16,North-West,standard,intensive,monthly,low,43314,20766,17578,296972
poultry,layer,intensive,474,51,North-Central,premium,standard,quarterly,high,27282,91229,12446,395239
poultry,layer,intensive,116,70,North-West,basic,intensive,quarterly,high,34838,49128,24309,201113
cattle,beef,semi-intensive,242,22,South-West,basic,standard,weekly,low,41254,15562,5780,224850
cattle,beef,intensive,439,29,North-West,basic,standard,monthly,high,18612,56277,21469,334470
cattle,beef,extensive,56,36,North-Central,premium,minimal,quarterly,high,26052,55599,20522,156225
cattle,beef,semi-intensive,221,32,South-East,basic,standard,weekly,high,22395,76511,29995,261796
poultry,layer,battery cage,189,59,North-Central,basic,minimal,monthly,high,23364,75341,20218,236787
poultry,layer,deep litter,338,45,South-East,premium,intensive,quarterly,medium,23792,27407,12879,256870
poultry,layer,battery cage,373,28,South-West,standard,intensive,quarterly,medium,38809,66116,16716,346950
cattle,beef,intensive,441,28,North-West,premium,minimal,weekly,medium,32655,74829,5279,365918
poultry,layer,intensive,413,49,South-West,premium,minimal,quarterly,medium,21241,83114,8173,340269
cattle,beef,extensive,160,14,North-West,standard,standard,weekly,medium,39199,23781,18165,200344
