year,month,livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingStatus,housingType,capacity,equipmentCount,feedPrice,laborCost,electricityCost,mortalityRate,vaccinationProgram,vaccinesUsed,vetServiceFrequency,medicationIntensity,diseaseRiskLevel,parasiteControl,sellingPricePerKg,eggPricePerEgg,milkPricePerLiter,totalCostEstimation,projectedRevenue,projectedProfit,roi
2020,8,poultry,layer,extensive,54,8,Akwa Ibom,need-to-build,block-concrete,58,2,47480,50201,11888,5.7,basic,LaSota (Newcastle),monthly,low,low,none,1327,28,0,155836,57033,-98804,-63.4
2020,1,poultry,layer,deep litter,1246,9,Akwa Ibom,existing,existing,1290,0,667113,15065,12570,11.6,minimal,LaSota (Newcastle),quarterly,medium,low,none,1294,30,0,844766,1486976,642210,76.02
2020,10,cattle,beef,intensive,58,24,Akwa Ibom,not-required,existing,60,4,1598941,99310,13437,2.2,basic,CBPP vaccine only,quarterly,high,low,regular,1315,0,0,1737997,18648015,16910018,972.96
2020,11,cattle,beef,extensive,84,24,Akwa Ibom,existing,existing,90,0,3497574,33119,14461,3.5,standard,CBPP + FMD (Foot & Mouth),monthly,medium,low,none,1067,0,0,3583962,21622755,18038793,503.32
2020,5,poultry,broiler,semi-intensive,1302,12,Anambra,existing,existing,1518,4,994791,47750,4571,4.3,basic,LaSota (Newcastle),monthly,high,high,none,871,26,0,1448128,2387612,939484,64.88
2020,5,poultry,broiler,semi-intensive,466,12,Anambra,need-to-build,steel-structure,512,3,400759,9205,13251,3.8,standard,LaSota + Gumboro (IBD),quarterly,low,high,none,1411,24,0,1028642,1391588,362946,35.28
2020,3,poultry,layer,extensive,1198,2,Anambra,existing,existing,1352,0,928306,13469,2865,11.4,standard,LaSota + Gumboro (IBD),weekly,high,medium,none,1063,41,0,1306915,435185,-871730,-66.7
2020,1,poultry,layer,battery cage,1446,5,Anambra,existing,existing,1821,2,1229940,24637,13015,9.6,standard,LaSota + Gumboro (IBD),monthly,low,medium,none,901,54,0,1534813,1764698,229886,14.98
2020,3,cattle,beef,extensive,90,13,Anambra,need-to-build,wooden,99,0,1334051,74789,10067,2.6,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,low,high,occasional,2137,0,0,3513531,46832355,43318824,1232.91
2020,4,cattle,beef,extensive,40,8,Anambra,need-to-build,block-concrete,51,4,2756720,82862,31814,2.7,basic,CBPP vaccine only,weekly,high,low,occasional,1125,0,0,4347780,10946250,6598470,151.77
2020,3,poultry,broiler,extensive,757,7,Bauchi,need-to-build,steel-structure,940,4,570637,13419,2649,2.3,standard,LaSota + Gumboro (IBD),weekly,low,high,none,1114,40,0,1535777,1812585,276808,18.02
2020,11,poultry,broiler,semi-intensive,1326,7,Bauchi,existing,existing,1590,2,893156,18618,12622,6.6,basic,LaSota (Newcastle),monthly,medium,low,none,1203,29,0,1160530,3277772,2117242,182.44
2020,7,poultry,layer,extensive,1172,2,Bauchi,need-to-build,block-concrete,1338,1,754289,31165,9075,5.7,basic,LaSota (Newcastle),quarterly,high,medium,none,1118,30,0,1742255,331559,-1410696,-80.97
2020,12,poultry,layer,semi-intensive,241,5,Bauchi,need-to-build,wooden,305,1,110730,43738,11310,2.6,basic,LaSota (Newcastle),quarterly,low,medium,none,1365,38,0,278713,222997,-55715,-19.99
2020,10,cattle,beef,extensive,36,10,Bauchi,not-required,existing,44,0,1963821,110783,23835,5.4,basic,CBPP vaccine only,quarterly,high,medium,occasional,1256,0,0,2109809,10693584,8583775,406.85
2020,12,cattle,beef,extensive,22,20,Bauchi,not-required,existing,26,4,905641,117783,26759,5.9,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,high,low,none,1752,0,0,1072433,9067476,7995043,745.51
2020,9,poultry,broiler,extensive,971,6,Bayelsa,existing,existing,1050,2,687807,34201,7007,9.4,intensive,LaSota + Gumboro + Marek's + IB,quarterly,medium,low,none,843,32,0,962832,1631540,668708,69.45
2020,6,poultry,broiler,extensive,1471,4,Bayelsa,existing,existing,1810,0,932181,27221,3321,5.6,minimal,LaSota (Newcastle),weekly,low,low,none,1414,35,0,1209851,4319732,3109881,257.05
2020,12,poultry,layer,deep litter,1980,7,Bayelsa,need-to-build,block-concrete,2268,3,1568114,41714,17826,6.9,minimal,LaSota (Newcastle),quarterly,medium,medium,none,1153,32,0,3385102,2064586,-1320516,-39.01
2020,7,poultry,layer,battery cage,1771,9,Bayelsa,existing,existing,2231,4,1522203,32688,13750,6.9,standard,LaSota + Gumboro (IBD),quarterly,high,medium,none,847,37,0,2114109,2745254,631145,29.85
2020,3,cattle,beef,extensive,46,16,Bayelsa,need-to-build,block-concrete,50,3,795865,19188,20059,1.9,minimal,CBPP vaccine only,monthly,medium,medium,none,2240,0,0,2524839,25270560,22745721,900.88
2020,11,cattle,beef,intensive,7,10,Bayelsa,existing,existing,7,1,134162,133564,17872,3.1,minimal,CBPP vaccine only,quarterly,low,low,none,1303,0,0,287166,2209562,1922396,669.44
2020,10,poultry,broiler,deep litter,1952,6,Benue,need-to-build,block-concrete,2303,1,1512255,34222,4009,1.8,minimal,LaSota (Newcastle),weekly,medium,low,none,1368,51,0,3359600,5768994,2409394,71.72
2020,2,poultry,broiler,semi-intensive,191,10,Benue,need-to-build,wooden,215,3,104166,48698,13274,10.0,minimal,LaSota (Newcastle),monthly,high,medium,none,1411,46,0,300908,533612,232704,77.33
2020,12,poultry,layer,extensive,942,11,Benue,need-to-build,block-concrete,1049,1,506769,45263,6473,10.1,standard,LaSota + Gumboro (IBD),quarterly,high,medium,none,1135,43,0,1444739,2002819,558081,38.63
2020,1,poultry,layer,battery cage,776,6,Benue,need-to-build,block-concrete,889,4,475143,7441,18698,8.7,intensive,LaSota + Gumboro + Marek's + IB,monthly,low,medium,none,849,47,0,1259589,998968,-260621,-20.69
2020,4,cattle,beef,intensive,16,15,Benue,existing,existing,18,3,482820,88448,18114,4.3,intensive,CBPP + FMD + Brucellosis + Anthrax,quarterly,high,medium,occasional,1649,0,0,604793,6312372,5707579,943.72
2020,12,cattle,beef,extensive,37,13,Benue,existing,existing,45,1,2043931,133948,24491,2.2,standard,CBPP + FMD (Foot & Mouth),monthly,high,medium,occasional,1221,0,0,2223919,11045776,8821858,396.68
2020,5,poultry,broiler,battery cage,789,4,Borno,need-to-build,wooden,967,4,362325,8242,6434,2.4,standard,LaSota + Gumboro (IBD),weekly,low,medium,none,1498,44,0,880168,2537823,1657655,188.33
2020,2,poultry,broiler,extensive,952,7,Borno,existing,existing,1148,0,705223,10517,2969,3.8,minimal,LaSota (Newcastle),quarterly,medium,medium,none,1156,42,0,822134,2329124,1506989,183.3
2020,3,poultry,layer,battery cage,292,10,Borno,need-to-build,steel-structure,378,4,152241,26118,8854,9.7,basic,LaSota (Newcastle),quarterly,medium,low,none,1119,51,0,532894,672374,139480,26.17
2020,5,poultry,layer,battery cage,1331,5,Borno,need-to-build,steel-structure,1447,0,670130,9027,2012,2.7,minimal,LaSota (Newcastle),quarterly,high,low,none,1125,42,0,2219592,1359816,-859776,-38.74
2020,4,cattle,beef,intensive,92,13,Borno,need-to-build,steel-structure,117,4,5358950,60876,17785,4.1,standard,CBPP + FMD (Foot & Mouth),quarterly,medium,high,occasional,1796,0,0,8887596,39614372,30726776,345.73
2020,3,cattle,beef,mixed,77,15,Borno,need-to-build,wooden,78,3,3575337,116985,16644,4.3,minimal,CBPP vaccine only,weekly,low,medium,regular,1602,0,0,5256922,29512444,24255522,461.4
2020,1,poultry,broiler,semi-intensive,102,3,Cross River,existing,existing,107,4,52237,40191,16500,7.5,intensive,LaSota + Gumboro + Marek's + IB,quarterly,medium,high,none,1220,48,0,138059,253235,115176,83.43
2020,9,poultry,broiler,extensive,1350,9,Cross River,existing,existing,1466,3,856787,36084,17130,4.8,intensive,LaSota + Gumboro + Marek's + IB,monthly,low,high,none,1033,46,0,1253981,2920746,1666765,132.92
2020,7,poultry,layer,semi-intensive,712,3,Cross River,need-to-build,steel-structure,845,0,510288,24935,5496,8.2,minimal,LaSota (Newcastle),monthly,low,medium,none,1058,48,0,1417903,470604,-947299,-66.81
2020,1,poultry,layer,semi-intensive,947,9,Cross River,existing,existing,973,0,703316,17386,4989,11.7,basic,LaSota (Newcastle),monthly,high,low,none,1200,41,0,932516,1542791,610275,65.44
2020,2,cattle,beef,mixed,42,22,Cross River,not-required,existing,44,2,1692410,74977,17630,2.8,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,high,low,occasional,1162,0,0,1828059,11859372,10031313,548.74
2020,10,cattle,beef,mixed,39,6,Cross River,need-to-build,steel-structure,44,2,1789616,98105,29639,5.1,basic,CBPP vaccine only,weekly,medium,medium,occasional,1543,0,0,3570757,14276993,10706236,299.83
2020,6,poultry,broiler,battery cage,1221,8,Delta,existing,existing,1521,3,971824,37607,16326,1.5,intensive,LaSota + Gumboro + Marek's + IB,monthly,medium,low,none,1076,45,0,1381312,2846996,1465684,106.11
2020,3,poultry,broiler,semi-intensive,1831,3,Delta,need-to-build,wooden,2260,4,933840,13256,17359,11.0,intensive,LaSota + Gumboro + Marek's + IB,weekly,low,high,none,1517,25,0,2343564,5438594,3095029,132.07
2020,5,poultry,layer,deep litter,1794,7,Delta,need-to-build,block-concrete,2195,3,929422,9969,13197,10.6,standard,LaSota + Gumboro (IBD),quarterly,high,medium,none,1480,56,0,2720754,3143519,422764,15.54
2020,7,poultry,layer,extensive,390,6,Delta,existing,existing,469,0,205140,22557,9717,4.6,minimal,LaSota (Newcastle),quarterly,high,low,none,969,36,0,311670,401825,90155,28.93
2020,3,cattle,beef,mixed,92,13,Delta,need-to-build,steel-structure,104,1,4527847,73419,23805,1.8,basic,CBPP vaccine only,weekly,low,high,occasional,2113,0,0,8519983,47724218,39204235,460.14
2020,5,cattle,beef,extensive,86,19,Delta,not-required,existing,95,2,2574993,139923,29288,3.0,basic,CBPP vaccine only,weekly,medium,medium,regular,1114,0,0,2780565,23232470,20451905,735.53
2020,6,poultry,broiler,extensive,612,2,Ebonyi,existing,existing,652,4,508249,46187,15707,9.2,standard,LaSota + Gumboro (IBD),quarterly,medium,low,none,958,49,0,715799,1171185,455386,63.62
2020,4,poultry,broiler,battery cage,1336,3,Ebonyi,existing,existing,1502,2,690817,22835,4521,9.7,standard,LaSota + Gumboro (IBD),quarterly,high,high,none,1472,33,0,1069808,3906832,2837023,265.19
2020,4,poultry,layer,semi-intensive,1750,4,Ebonyi,need-to-build,block-concrete,2201,2,1114359,11998,18956,9.2,basic,LaSota (Newcastle),quarterly,medium,high,none,890,55,0,2659413,1747900,-911513,-34.27
2020,12,poultry,layer,extensive,78,6,Ebonyi,existing,existing,93,3,62214,18378,8855,5.1,intensive,LaSota + Gumboro + Marek's + IB,quarterly,medium,low,none,1267,35,0,109977,77723,-32254,-29.33
2020,8,cattle,beef,intensive,87,8,Ebonyi,not-required,existing,94,3,2605277,67102,8309,5.5,minimal,CBPP vaccine only,quarterly,high,medium,regular,2172,0,0,2718202,44642745,41924543,1542.36
2020,8,cattle,beef,extensive,63,17,Ebonyi,not-required,existing,72,4,3477993,35837,16398,2.8,minimal,CBPP vaccine only,weekly,low,high,none,1105,0,0,3553866,16916445,13362579,376.0
2020,7,poultry,broiler,battery cage,958,9,Edo,existing,existing,1012,2,740330,30630,19215,2.1,standard,LaSota + Gumboro (IBD),weekly,high,medium,none,1055,36,0,1122793,2176824,1054032,93.88
2020,2,poultry,broiler,deep litter,153,7,Edo,existing,existing,163,1,89419,43014,11861,9.7,intensive,LaSota + Gumboro + Marek's + IB,weekly,high,low,none,1227,50,0,201271,372946,171675,85.3
2020,3,poultry,layer,semi-intensive,1685,4,Edo,existing,existing,1749,0,1085866,41218,12462,2.4,minimal,LaSota (Newcastle),monthly,low,low,none,796,31,0,1328266,1019627,-308639,-23.24
2020,7,poultry,layer,extensive,1643,7,Edo,existing,existing,1868,3,1436973,8882,15837,6.5,minimal,LaSota (Newcastle),quarterly,low,medium,none,1439,40,0,1710114,2150687,440573,25.76
2020,1,cattle,beef,intensive,67,20,Edo,existing,existing,81,0,1414662,32347,22555,2.3,minimal,CBPP vaccine only,monthly,medium,medium,regular,1718,0,0,1491138,28114640,26623502,1785.45
2020,7,cattle,beef,intensive,94,9,Edo,not-required,existing,106,4,2344578,72432,10918,4.5,standard,CBPP + FMD (Foot & Mouth),monthly,high,high,occasional,1407,0,0,2488990,31576598,29087607,1168.65
2020,7,poultry,broiler,semi-intensive,816,4,Ekiti,need-to-build,wooden,959,0,441086,11191,15065,10.1,minimal,LaSota (Newcastle),monthly,medium,medium,none,1398,41,0,931156,2256211,1325055,142.3
2020,9,poultry,broiler,semi-intensive,1839,12,Ekiti,need-to-build,steel-structure,1962,0,1359684,22261,12273,11.7,standard,LaSota + Gumboro (IBD),quarterly,low,medium,none,945,44,0,3659866,3375957,-283909,-7.76
2020,2,poultry,layer,semi-intensive,1225,5,Ekiti,need-to-build,steel-structure,1291,4,926024,8139,18369,7.7,standard,LaSota + Gumboro (IBD),quarterly,medium,low,none,1411,31,0,2616082,876273,-1739809,-66.5
2020,12,poultry,layer,battery cage,1831,4,Ekiti,need-to-build,wooden,1917,1,1620343,10982,11449,9.2,standard,LaSota + Gumboro (IBD),monthly,medium,low,none,1068,38,0,2775797,1263536,-1512260,-54.48
2020,5,cattle,beef,intensive,25,7,Ekiti,not-required,existing,30,0,1264882,76634,17196,2.0,standard,CBPP + FMD (Foot & Mouth),quarterly,high,low,none,1324,0,0,1371312,8109500,6738188,491.37
2020,2,cattle,beef,mixed,80,21,Ekiti,not-required,existing,85,2,2823050,90637,4426,0.7,standard,CBPP + FMD (Foot & Mouth),monthly,low,medium,regular,1360,0,0,2960225,27009600,24049375,812.42
2020,3,poultry,broiler,deep litter,1068,8,Enugu,existing,existing,1344,1,832868,28711,16707,5.2,standard,LaSota + Gumboro (IBD),monthly,medium,low,none,1393,25,0,1090604,3102797,2012193,184.5
2020,1,poultry,broiler,semi-intensive,1229,8,Enugu,need-to-build,steel-structure,1483,3,814548,48933,5224,4.2,intensive,LaSota + Gumboro + Marek's + IB,weekly,medium,low,none,1500,38,0,2671894,3885361,1213467,45.42
2020,6,poultry,layer,extensive,1256,8,Enugu,existing,existing,1455,3,1000222,16616,15765,10.6,minimal,LaSota (Newcastle),monthly,low,low,none,842,44,0,1257678,1976241,718562,57.13
2020,4,poultry,layer,battery cage,533,3,Enugu,existing,existing,612,2,394495,39993,13620,3.2,standard,LaSota + Gumboro (IBD),monthly,high,high,none,918,48,0,603318,371480,-231838,-38.43
2020,10,cattle,beef,mixed,46,16,Enugu,existing,existing,53,3,1747206,54107,12275,0.9,intensive,CBPP + FMD + Brucellosis + Anthrax,quarterly,high,high,regular,1051,0,0,1859183,11977722,10118538,544.25
2020,5,cattle,beef,extensive,14,8,Enugu,not-required,existing,15,4,548235,85092,27479,3.3,intensive,CBPP + FMD + Brucellosis + Anthrax,monthly,low,low,occasional,2109,0,0,673507,7137910,6464404,959.81
2020,10,poultry,broiler,battery cage,176,9,FCT Abuja,existing,existing,203,2,94522,35042,2920,11.8,basic,LaSota (Newcastle),monthly,high,medium,none,1319,56,0,178807,450452,271645,151.92
2020,10,poultry,broiler,extensive,887,7,FCT Abuja,existing,existing,1128,2,479908,36442,7173,1.7,basic,LaSota (Newcastle),monthly,medium,medium,none,1331,44,0,694891,2553159,1858268,267.42
2020,3,poultry,layer,battery cage,1927,7,FCT Abuja,need-to-build,steel-structure,2000,3,1506650,10677,11943,2.4,standard,LaSota + Gumboro (IBD),weekly,high,high,none,1270,33,0,4399729,2172269,-2227461,-50.63
2020,12,poultry,layer,semi-intensive,87,7,FCT Abuja,need-to-build,wooden,107,1,69977,15333,19600,4.8,minimal,LaSota (Newcastle),quarterly,high,medium,none,901,32,0,159964,92763,-67201,-42.01
2020,9,cattle,beef,mixed,53,10,FCT Abuja,existing,existing,59,1,3013634,116474,9067,5.1,minimal,CBPP vaccine only,quarterly,medium,high,none,1531,0,0,3152976,19251177,16098201,510.57
2020,11,cattle,beef,extensive,34,23,FCT Abuja,existing,existing,39,2,1959177,128170,9904,5.8,basic,CBPP vaccine only,monthly,high,medium,regular,1835,0,0,2112102,14692845,12580743,595.65
2020,8,poultry,broiler,extensive,381,5,Gombe,existing,existing,395,2,232145,20337,16244,1.6,intensive,LaSota + Gumboro + Marek's + IB,monthly,medium,high,none,1322,40,0,365378,1090371,724993,198.42
2020,2,poultry,broiler,battery cage,1751,8,Gombe,existing,existing,1953,1,1310942,41697,8309,10.0,basic,LaSota (Newcastle),monthly,medium,high,none,1084,35,0,1633544,3758206,2124663,130.06
2020,2,poultry,layer,deep litter,1768,12,Gombe,need-to-build,wooden,2094,1,1343653,24204,14668,1.4,standard,LaSota + Gumboro (IBD),weekly,low,medium,none,1358,38,0,2391219,3974605,1583387,66.22
2020,2,poultry,layer,extensive,277,6,Gombe,existing,existing,318,2,145639,30563,11486,2.3,minimal,LaSota (Newcastle),monthly,low,low,none,831,51,0,228143,414062,185919,81.49
2020,9,cattle,beef,mixed,23,15,Gombe,need-to-build,wooden,25,4,918007,35092,20984,2.4,minimal,CBPP vaccine only,quarterly,high,high,none,1640,0,0,1436140,9203680,7767540,540.86
2020,9,cattle,beef,extensive,52,14,Gombe,not-required,existing,61,0,754030,40926,20697,2.5,minimal,CBPP vaccine only,monthly,medium,low,regular,1111,0,0,831611,14081925,13250314,1593.33
2020,6,poultry,broiler,semi-intensive,1716,12,Imo,existing,existing,1735,3,1186759,14911,4581,11.8,basic,LaSota (Newcastle),weekly,medium,high,none,1325,54,0,1672317,4411887,2739571,163.82
2020,4,poultry,broiler,semi-intensive,1105,8,Imo,need-to-build,block-concrete,1146,0,639698,22493,15795,9.3,minimal,LaSota (Newcastle),weekly,low,medium,none,1439,34,0,1637126,3172876,1535750,93.81
2020,6,poultry,layer,extensive,744,4,Imo,need-to-build,steel-structure,966,3,607504,18576,3674,5.0,intensive,LaSota + Gumboro + Marek's + IB,monthly,high,medium,none,1105,37,0,1731767,523032,-1208735,-69.8
2020,3,poultry,layer,semi-intensive,1403,6,Imo,need-to-build,block-concrete,1661,4,798763,26266,10002,8.9,standard,LaSota + Gumboro (IBD),monthly,low,low,none,1333,53,0,2139260,2032231,-107028,-5.0
2020,7,cattle,beef,mixed,56,17,Imo,not-required,existing,57,1,1164550,91653,27171,5.7,standard,CBPP + FMD (Foot & Mouth),quarterly,low,low,regular,1024,0,0,1310030,13518848,12208818,931.95
2020,11,cattle,beef,mixed,24,20,Imo,need-to-build,block-concrete,25,3,1093035,82029,15902,4.7,standard,CBPP + FMD (Foot & Mouth),monthly,medium,high,none,1798,0,0,2077267,10280964,8203697,394.93
2020,2,poultry,broiler,extensive,1920,10,Jigawa,existing,existing,2035,2,1317859,14355,11319,9.5,minimal,LaSota (Newcastle),quarterly,low,medium,none,1309,56,0,1576636,5003940,3427304,217.38
2020,3,poultry,broiler,extensive,229,12,Jigawa,need-to-build,steel-structure,277,2,145014,17250,6554,8.8,minimal,LaSota (Newcastle),monthly,low,high,none,903,46,0,427965,414897,-13068,-3.05
2020,3,poultry,layer,battery cage,1672,4,Jigawa,existing,existing,1715,3,1061110,20249,14249,1.3,standard,LaSota + Gumboro (IBD),quarterly,low,low,none,1201,43,0,1382871,1419227,36356,2.63
2020,5,poultry,layer,extensive,1625,8,Jigawa,existing,existing,2005,1,1080789,23345,12361,11.7,intensive,LaSota + Gumboro + Marek's + IB,quarterly,high,medium,none,1044,52,0,1552385,2984540,1432155,92.26
2020,11,cattle,beef,intensive,71,10,Jigawa,need-to-build,wooden,89,1,3331163,52298,28039,2.3,basic,CBPP vaccine only,weekly,medium,high,none,2108,0,0,4833954,36556409,31722455,656.24
2020,5,cattle,beef,mixed,43,23,Jigawa,existing,existing,54,4,1762201,77735,8125,4.0,basic,CBPP vaccine only,quarterly,high,medium,none,1767,0,0,1864291,18235440,16371149,878.14
2020,6,poultry,broiler,semi-intensive,1383,5,Kaduna,need-to-build,steel-structure,1667,0,912595,17223,16586,6.5,minimal,LaSota (Newcastle),weekly,low,low,none,1149,49,0,2517669,3268711,751042,29.83
2020,5,poultry,broiler,battery cage,950,8,Kaduna,need-to-build,block-concrete,1063,1,468426,39062,6849,4.7,intensive,LaSota + Gumboro + Marek's + IB,weekly,high,low,none,1531,34,0,1424589,3049400,1624811,114.05
2020,6,poultry,layer,deep litter,597,9,Kaduna,existing,existing,625,1,324548,20831,11372,2.1,minimal,LaSota (Newcastle),monthly,low,medium,none,972,51,0,430569,1341343,910774,211.53
2020,6,poultry,layer,extensive,1071,6,Kaduna,need-to-build,wooden,1230,0,661747,43080,5258,11.4,standard,LaSota + Gumboro (IBD),weekly,low,medium,none,1051,24,0,1297130,683212,-613918,-47.33
2020,11,cattle,beef,extensive,22,14,Kaduna,not-required,existing,25,2,650589,58213,18450,4.7,intensive,CBPP + FMD + Brucellosis + Anthrax,monthly,high,low,none,1225,0,0,747432,6420837,5673405,759.05
2020,2,cattle,beef,mixed,92,9,Kaduna,existing,existing,97,0,4714066,51546,27988,2.7,intensive,CBPP + FMD + Brucellosis + Anthrax,quarterly,medium,high,occasional,1931,0,0,4868510,43213849,38345339,787.62
2020,9,poultry,broiler,deep litter,330,7,Kano,need-to-build,steel-structure,391,3,248033,11499,16200,2.6,intensive,LaSota + Gumboro + Marek's + IB,quarterly,low,low,none,1025,36,0,673385,724802,51417,7.64
2020,5,poultry,broiler,extensive,1501,11,Kano,need-to-build,block-concrete,1810,0,1014610,43584,10888,5.1,standard,LaSota + Gumboro (IBD),quarterly,high,high,none,1386,47,0,2291256,4343430,2052174,89.57
2020,1,poultry,layer,battery cage,1527,2,Kano,need-to-build,wooden,1961,4,1003703,38286,4229,7.9,intensive,LaSota + Gumboro + Marek's + IB,monthly,high,high,none,1299,23,0,2160439,323464,-1836975,-85.03
2020,2,poultry,layer,extensive,360,8,Kano,existing,existing,416,3,235604,24172,14932,6.5,basic,LaSota (Newcastle),weekly,medium,medium,none,1334,46,0,364622,619344,254722,69.86
2020,9,cattle,beef,extensive,27,20,Kano,not-required,existing,29,2,1221142,108852,21308,3.5,standard,CBPP + FMD (Foot & Mouth),quarterly,medium,high,occasional,1993,0,0,1364668,12981904,11617236,851.29
2020,8,cattle,beef,intensive,43,15,Kano,not-required,existing,52,1,1538907,66802,18197,4.3,basic,CBPP vaccine only,weekly,medium,high,occasional,2157,0,0,1638980,22190677,20551697,1253.93
2020,5,poultry,broiler,extensive,1884,8,Katsina,need-to-build,wooden,2004,2,1456454,9178,16087,1.5,minimal,LaSota (Newcastle),quarterly,high,high,none,1280,48,0,2583181,5225764,2642583,102.3
2020,9,poultry,broiler,battery cage,273,11,Katsina,existing,existing,311,1,206326,14779,5528,1.6,standard,LaSota + Gumboro (IBD),quarterly,high,medium,none,860,33,0,286868,508252,221384,77.17
2020,11,poultry,layer,extensive,1387,9,Katsina,need-to-build,steel-structure,1483,1,752597,17061,2875,9.3,basic,LaSota (Newcastle),weekly,high,low,none,1365,44,0,2509279,2490858,-18421,-0.73
2020,12,poultry,layer,deep litter,1762,8,Katsina,need-to-build,wooden,2284,2,787115,27852,3610,10.6,minimal,LaSota (Newcastle),weekly,medium,low,none,1527,32,0,1870421,2016292,145871,7.8
2020,9,cattle,beef,intensive,19,16,Katsina,existing,existing,22,3,900331,16311,12418,4.1,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,high,medium,occasional,1352,0,0,948382,6158698,5210316,549.39
2020,4,cattle,beef,mixed,46,8,Katsina,need-to-build,steel-structure,49,0,836767,49868,10113,1.5,basic,CBPP vaccine only,quarterly,high,medium,occasional,1309,0,0,2611437,14827698,12216261,467.8
2020,5,poultry,broiler,deep litter,585,12,Kebbi,need-to-build,steel-structure,708,1,283317,17878,8165,1.7,standard,LaSota + Gumboro (IBD),monthly,high,high,none,1164,52,0,1029425,1472601,443176,43.05
2020,5,poultry,broiler,battery cage,498,4,Kebbi,need-to-build,wooden,597,3,324933,22042,10362,9.2,minimal,LaSota (Newcastle),quarterly,medium,medium,none,1140,40,0,628966,1134077,505111,80.31
2020,4,poultry,layer,extensive,1131,7,Kebbi,existing,existing,1420,4,824967,40643,5060,2.2,basic,LaSota (Newcastle),quarterly,high,low,none,1190,28,0,1164549,1083996,-80553,-6.92
